Estable,Prov_ubi,Cant_ubi,Parr_ubi,Clase,Tipo,Entidad,Sector,Farm,,,idCanton,idParroquia,,,idCanton,idParroquia
218,3,303,30350,1,5,1,1,1,,,03,50,,03,3,50
226,3,301,30150,24,4,1,1,1,,,01,50,,01,1,50
227,3,306,30650,23,4,1,1,1,,,06,50,,06,6,50
228,3,301,30156,21,4,1,1,0,,,01,56,,01,1,56
229,3,306,30651,20,4,1,1,0,,,06,51,,06,6,51
230,3,301,30157,21,4,1,1,0,,,01,57,,01,1,57
231,3,301,30154,21,4,1,1,0,,,01,54,,01,1,54
232,3,301,30153,22,4,1,1,0,,,01,53,,01,1,53
233,3,301,30150,21,4,1,1,0,,,01,50,,01,1,50
234,3,301,30151,21,4,1,1,0,,,01,51,,01,1,51
235,3,301,30155,21,4,1,1,0,,,01,55,,01,1,55
236,3,301,30158,21,4,1,1,0,,,01,58,,01,1,58
237,3,301,30153,20,4,1,1,0,,,01,53,,01,1,53
238,3,302,30250,22,4,1,1,1,,,02,50,,02,2,50
239,3,302,30251,21,4,1,1,0,,,02,51,,02,2,51
240,3,302,30250,20,4,1,1,0,,,02,50,,02,2,50
243,3,305,30550,22,4,1,1,1,,,05,50,,05,5,50
244,3,303,30353,21,4,1,1,0,,,03,53,,03,3,53
245,3,303,30354,21,4,1,1,0,,,03,54,,03,3,54
246,3,304,30451,21,4,1,1,0,,,04,51,,04,4,51
247,3,307,30750,22,4,1,1,1,,,07,50,,07,7,50
248,3,303,30356,22,4,1,1,0,,,03,56,,03,3,56
249,3,303,30351,21,4,1,1,0,,,03,51,,03,3,51
251,3,304,30452,21,4,1,1,0,,,04,52,,04,4,52
252,3,304,30451,21,4,1,1,0,,,04,51,,04,4,51
253,3,304,30452,21,4,1,1,0,,,04,52,,04,4,52
254,3,303,30355,22,4,1,1,0,,,03,55,,03,3,55
255,3,303,30363,21,4,1,1,0,,,03,63,,03,3,63
256,3,303,30358,20,4,1,1,0,,,03,58,,03,3,58
257,3,303,30362,21,4,1,1,0,,,03,62,,03,3,62
258,3,303,30352,21,4,1,1,0,,,03,52,,03,3,52
259,3,303,30350,22,4,1,1,0,,,03,50,,03,3,50
260,3,303,30350,20,4,1,1,0,,,03,50,,03,3,50
261,3,301,30150,21,4,1,1,0,,,01,50,,01,1,50
263,3,305,30550,20,4,1,1,0,,,05,50,,05,5,50
264,3,303,30357,21,4,1,1,0,,,03,57,,03,3,57
265,3,304,30450,20,4,1,1,0,,,04,50,,04,4,50
266,3,304,30450,21,4,1,1,0,,,04,50,,04,4,50
267,3,303,30362,20,4,1,1,0,,,03,62,,03,3,62
268,3,303,30356,20,4,1,1,0,,,03,56,,03,3,56
269,3,303,30358,20,4,1,1,0,,,03,58,,03,3,58
270,3,303,30354,21,4,1,1,0,,,03,54,,03,3,54
271,3,301,30160,21,4,1,1,0,,,01,60,,01,1,60
272,3,303,30353,20,4,1,1,0,,,03,53,,03,3,53
273,3,301,30150,20,4,1,1,0,,,01,50,,01,1,50
274,3,303,30361,21,4,1,1,0,,,03,61,,03,3,61
276,3,303,30352,20,4,1,1,0,,,03,52,,03,3,52
277,3,303,30353,20,4,1,1,0,,,03,53,,03,3,53
278,3,303,30355,20,4,1,1,0,,,03,55,,03,3,55
280,3,303,30356,21,4,1,1,0,,,03,56,,03,3,56
282,3,303,30350,22,4,1,1,0,,,03,50,,03,3,50
283,3,304,30450,22,4,1,1,1,,,04,50,,04,4,50
284,3,301,30158,20,4,1,1,0,,,01,58,,01,1,58
285,3,302,30252,20,4,1,1,0,,,02,52,,02,2,52
287,3,303,30363,21,4,1,1,0,,,03,63,,03,3,63
289,3,301,30150,1,5,6,1,1,,,01,50,,01,1,50
290,3,301,30150,22,4,2,1,0,,,01,50,,01,1,50
292,3,301,30153,25,4,7,1,0,,,01,53,,01,1,53
293,3,303,30350,22,4,6,1,0,,,03,50,,03,3,50
294,3,303,30350,25,4,2,1,0,,,03,50,,03,3,50
295,3,301,30150,25,4,2,1,0,,,01,50,,01,1,50
296,3,304,30450,22,4,6,1,1,,,04,50,,04,4,50
301,4,401,40150,2,1,1,1,1,,,01,50,,01,1,50
302,4,403,40350,1,5,1,1,1,,,03,50,,03,3,50
303,4,405,40550,1,5,1,1,1,,,05,50,,05,5,50
305,4,401,40150,22,4,1,1,1,,,01,50,,01,1,50
306,4,401,40151,21,4,1,1,0,,,01,51,,01,1,51
307,4,401,40153,21,4,1,1,0,,,01,53,,01,1,53
308,4,401,40154,21,4,1,1,0,,,01,54,,01,1,54
309,4,401,40157,21,4,1,1,0,,,01,57,,01,1,57
310,4,401,40158,21,4,1,1,0,,,01,58,,01,1,58
311,4,406,40650,21,4,1,1,0,,,06,50,,06,6,50
312,4,403,40351,20,4,1,1,0,,,03,51,,03,3,51
313,4,404,40452,22,4,1,1,0,,,04,52,,04,4,52
314,4,404,40453,21,4,1,1,0,,,04,53,,04,4,53
315,4,404,40451,21,4,1,1,0,,,04,51,,04,4,51
316,4,403,40352,21,4,1,1,0,,,03,52,,03,3,52
317,4,404,40450,21,4,1,1,0,,,04,50,,04,4,50
318,4,403,40353,21,4,1,1,0,,,03,53,,03,3,53
319,4,402,40254,21,4,1,1,0,,,02,54,,02,2,54
320,4,405,40551,21,4,1,1,0,,,05,51,,05,5,51
321,4,402,40253,21,4,1,1,0,,,02,53,,02,2,53
322,4,402,40250,21,4,1,1,0,,,02,50,,02,2,50
323,4,405,40554,21,4,1,1,0,,,05,54,,05,5,54
324,4,402,40251,21,4,1,1,0,,,02,51,,02,2,51
325,4,402,40255,21,4,1,1,0,,,02,55,,02,2,55
326,4,401,40159,21,4,1,1,0,,,01,59,,01,1,59
327,4,401,40161,21,4,1,1,0,,,01,61,,01,1,61
328,4,401,40155,21,4,1,1,0,,,01,55,,01,1,55
329,4,402,40252,21,4,1,1,0,,,02,52,,02,2,52
330,4,405,40552,21,4,1,1,0,,,05,52,,05,5,52
331,4,405,40553,21,4,1,1,0,,,05,53,,05,5,53
332,4,402,40251,20,4,1,1,0,,,02,51,,02,2,51
333,4,404,40450,20,4,1,1,0,,,04,50,,04,4,50
334,4,405,40555,21,4,1,1,0,,,05,55,,05,5,55
336,4,404,40452,21,4,1,1,0,,,04,52,,04,4,52
337,4,402,40254,21,4,1,1,0,,,02,54,,02,2,54
338,4,404,40450,21,4,1,1,0,,,04,50,,04,4,50
339,4,404,40452,20,4,1,1,0,,,04,52,,04,4,52
340,4,401,40150,22,4,6,1,0,,,01,50,,01,1,50
342,4,401,40150,23,4,2,1,0,,,01,50,,01,1,50
343,4,401,40150,23,4,3,1,0,,,01,50,,01,1,50
344,4,403,40350,21,4,6,1,1,,,03,50,,03,3,50
345,4,405,40550,21,4,6,1,1,,,05,50,,05,5,50
347,4,401,40150,23,4,17,3,0,,,01,50,,01,1,50
348,4,401,40150,24,4,17,3,0,,,01,50,,01,1,50
350,5,501,50104,12,3,18,2,1,,,01,04,,01,1,4
351,5,501,50104,12,3,18,2,0,,,01,04,,01,1,4
352,5,501,50104,2,1,6,1,1,,,01,04,,01,1,4
353,5,501,50104,2,1,1,1,1,,,01,04,,01,1,4
354,5,503,50350,1,5,1,1,1,,,03,50,,03,3,50
355,5,504,50450,1,5,1,1,1,,,04,50,,04,4,50
356,5,505,50550,1,5,1,1,1,,,05,50,,05,5,50
358,5,501,50150,22,4,1,1,1,,,01,50,,01,1,50
359,5,501,50153,21,4,1,1,0,,,01,53,,01,1,53
360,5,501,50156,21,4,1,1,0,,,01,56,,01,1,56
361,5,507,50753,21,4,1,1,0,,,07,53,,07,7,53
362,5,501,50154,21,4,1,1,0,,,01,54,,01,1,54
363,5,502,50252,21,4,1,1,0,,,02,52,,02,2,52
364,5,501,50159,21,4,1,1,0,,,01,59,,01,1,59
365,5,507,50750,21,4,1,1,0,,,07,50,,07,7,50
366,5,501,50162,21,4,1,1,0,,,01,62,,01,1,62
367,5,501,50152,21,4,1,1,0,,,01,52,,01,1,52
368,5,501,50161,21,4,1,1,0,,,01,61,,01,1,61
369,5,501,50158,21,4,1,1,0,,,01,58,,01,1,58
370,5,501,50151,21,4,1,1,0,,,01,51,,01,1,51
371,5,501,50157,21,4,1,1,0,,,01,57,,01,1,57
372,5,501,50161,21,4,1,1,0,,,01,61,,01,1,61
373,5,501,50156,21,4,1,1,0,,,01,56,,01,1,56
374,5,503,50351,21,4,1,1,0,,,03,51,,03,3,51
375,5,504,50451,21,4,1,1,0,,,04,51,,04,4,51
376,5,502,50250,22,4,1,1,1,,,02,50,,02,2,50
377,5,504,50456,21,4,1,1,0,,,04,56,,04,4,56
378,5,504,50457,21,4,1,1,0,,,04,57,,04,4,57
379,5,504,50458,1,5,17,3,1,,,04,58,,04,4,58
380,5,504,50455,21,4,1,1,0,,,04,55,,04,4,55
381,5,502,50251,21,4,1,1,0,,,02,51,,02,2,51
382,5,505,50553,21,4,1,1,0,,,05,53,,05,5,53
383,5,505,50551,21,4,1,1,0,,,05,51,,05,5,51
384,5,505,50552,21,4,1,1,0,,,05,52,,05,5,52
385,5,505,50554,21,4,1,1,0,,,05,54,,05,5,54
386,5,505,50555,21,4,1,1,0,,,05,55,,05,5,55
387,5,505,50552,20,4,1,1,0,,,05,52,,05,5,52
388,5,505,50550,21,4,1,1,0,,,05,50,,05,5,50
389,5,505,50555,21,4,1,1,0,,,05,55,,05,5,55
390,5,505,50550,21,4,1,1,0,,,05,50,,05,5,50
391,5,506,50650,22,4,1,1,1,,,06,50,,06,6,50
392,5,507,50751,21,4,1,1,0,,,07,51,,07,7,51
393,5,503,50351,21,4,1,1,0,,,03,51,,03,3,51
394,5,507,50752,21,4,1,1,0,,,07,52,,07,7,52
395,5,505,50550,21,4,1,1,0,,,05,50,,05,5,50
396,5,502,50250,21,4,1,1,0,,,02,50,,02,2,50
397,5,501,50150,21,4,1,1,0,,,01,50,,01,1,50
398,5,503,50353,21,4,1,1,0,,,03,53,,03,3,53
