50452,Chucchilán (Chugchilán),504
50453,Guangaje,504
50454,Isinlibí (Isinliví),504
50455,La Victoria,504
50456,Pilaló,504
50457,Tingo,504
50458,Zumbahua,504
50499,Sin Especificar,504
50550,San Miguel Cabecera Cantonal,505
50551,Antonio José Holguín  (Santa Lucía),505
50552,Cusubamba,505
50553,Mulalillo,505
50554,Mulliquindil (Santa Ana),505
50555,Pansaleo,505
50599,Sin Especificar,505
50650,Saquisilí Cabecera Cantonal,506
50651,Canchagua,506
50652,Chantilín,506
50653,Cochapamba,506
50699,Sin Especificar,506
50750,Sigchos Cabecera Cantonal,507
50751,Chugchillán,507
50752,Isinliví,507
50753,Las Pampas,507
50754,Palo Quemado,507
50799,Sin Especificar,507
60101,Lizarzaburu,601
60102,Maldonado,601
60103,Velasco,601
60104,Veloz,601
60105,Yaruquíes,601
60150,Riobamba Cabecera Cantonal y Capital Provincial,601
60151,Cacha (Cab. en Machángara),601
60152,Calpi,601
60153,Cubijíes,601
60154,Flores,601
60155,Licán,601
60156,Licto,601
60157,Pungalá,601
60158,Punín,601
60159,Quimiag,601
60160,San Juan,601
60161,San Luis,601
60199,Sin Especificar,601
60250,Alausí Cabecera Cantonal,602
60251,Achupallas,602
60252,Cumandá,602
60253,Guasuntos,602
60254,Huigra,602
60255,Multitud,602
60256,Pistishí (Nariz del Diablo),602
60257,Pumallacta,602
60258,Sevilla,602
60259,Sibambe,602
60260,Tixán,602
60299,Sin Especificar,602
60301,Cajabamba,603
60302,Sicalpa,603
60350,Villa La Unión (Cajabamba) Cabecera Cantonal,603
60351,Cañi,603
60352,Columbe,603
60353,Juan de Velasco (Pangor),603
60354,Santiago de Quito (Cab. en San Antonio de Quito),603
60399,Sin Especificar,603
60450,Chambo Cabecera Cantonal,604
60499,Sin Especificar,604
60550,Chunchi Cabecera Cantonal,605
60551,Capzol,605
60552,Compud,605
60553,Gonzol,605
60554,Llagos,605
60599,Sin Especificar,605
60650,Guamote Cabecera Cantonal,606
60651,Cebadas,606
60652,Palmira,606
60699,Sin Especificar,606
60701,El Rosario,607
60702,La Matriz,607
60750,Guano Cabecera Cantonal,607
60751,Guanando,607
60752,Ilapo,607
60753,La Providencia,607
60754,San Andrés,607
60755,San Gerardo de Pacaicaguán,607
60756,San Isidro de Patulú,607
60757,San José del Chazo,607
60758,Santa Fé de Galán,607
60759,Valparaíso,607
60799,Sin Especificar,607
60850,Pallatanga Cabecera Cantonal,608
60899,Sin Especificar,608
60950,Penipe Cabecera Cantonal,609
60951,El Altar,609
60952,Matus,609
60953,Puela,609
60954,San Antonio de Bayushig,609
60955,La Candelaria,609
60956,Bilbao (Cab. en Quilluyacu),609
60999,Sin Especificar,609
61050,Cumandá Cabecera Cantonal,610
61099,Sin Especificar,610
70101,La Providencia,701
70102,Machala,701
70103,Puerto Bolívar,701
70104,Nueve de Mayo,701
70105,El Cambio,701
70150,Machala Cabecera Cantonal y Capital Provincial,701
70151,El Cambio,701
70152,El Retiro,701
70199,Sin Especificar,701
70250,Arenillas Cabecera Cantonal,702
70251,Chacras,702
70252,La Libertad,702
70253,Las Lajas (Cab. en la Victoria),702
70254,Palmales,702
70255,Carcabón,702
70299,Sin Especificar,702
70350,Paccha Cabecera Cantonal,703
70351,Ayapamba,703
70352,Cordoncillo,703
70353,Milagro,703
70354,San José,703
70355,San Juan de Cerro Azul,703
70399,Sin Especificar,703
70450,Balsas Cabecera Cantonal,704
70451,Bellamaría,704
70499,Sin Especificar,704
70550,Chilla Cabecera Cantonal,705
70599,Sin Especificar,705
70650,El Guabo Cabecera Cantonal,706
70651,Barbones (Sucre),706
70652,La Iberia,706
70653,Tendales (Cab. en Puerto Tendales),706
70654,Río Bonito,706
70699,Sin Especificar,706
70701,Ecuador,707
70702,El Paraíso,707
70703,Hualtaco,707
70704,Milton Reyes,707
70705,Unión Lojana,707
70750,Huaquillas Cabecera Cantonal,707
70799,Sin Especificar,707
70850,Marcabelí Cabecera Cantonal,708
70851,El Ingenio,708
70899,Sin Especificar,708
70901,Bolívar,709
70902,Loma de Franco,709
70903,Ochoa León (Matriz),709
70904,Tres Cerritos,709
70950,Pasaje Cabecera Cantonal,709
70951,Buenavista,709
70952,Casacay,709
70953,La Peaña,709
70954,Progreso,709
70955,Uzhcurrumi,709
70956,Cañaquemada,709
70999,Sin Especificar,709
71001,La Matriz,710
71002,La Susaya,710
71003,Piñas Grande,710
71050,Piñas Cabecera Cantonal,710
71051,Capiro (Cab. en La Capilla de Capiro),710
71052,La Bocana,710
71053,Moromoro (Cab. en El Vado),710
71054,Piedras,710
71055,San Roque (Ambrosio Maldonado),710
71056,Saracay,710
71099,Sin Especificar,710
71150,Portovelo Cabecera Cantonal,711
71151,Curtincapa,711
71152,Morales,711
71153,Salatí,711
71199,Sin Especificar,711
71201,Santa Rosa,712
71202,Puerto Jelí,712
71203,Balnerio Jambelí (Satélite),712
71204,Jumón (Satélite),712
71205,Nuevo Santa Rosa,712
71250,Santa Rosa Cabecera Cantonal,712
71251,Bellavista,712
71252,Jambelí,712
71253,La Avanzada,712
71254,San Antonio,712
71255,Torata,712
71256,Victoria,712
71257,Bellamaría,712
71299,Sin Especificar,712
71350,Zaruma Cabecera Cantonal,713
71351,Abañín,713
71352,Arcapamba,713
71353,Guanazán,713
71354,Guizhaguiña,713
71355,Huertas,713
71356,Malvas,713
71357,Muluncay Grande,713
71358,Sinsao,713
71359,Salvias,713
71399,Sin Especificar,713
71401,La Victoria,714
71402,Platanillos,714
71403,Valle Hermoso,714
71450,La Victoria Cabecera Cantonal,714
71451,La Libertad,714
71452,El Paraíso,714
71453,San Isidro,714
71499,Sin Especificar,714
80101,Bartolomé Ruiz (César Franco Carrión),801
80102,5 de Agosto,801
80103,Esmeraldas,801
80104,Luis Tello (Las Palmas),801
80105,Simón Plata Torres,801
80150,Esmeraldas Cabecera Cantonal y Capital Provincial,801
80151,Atacames,801
80152,Camarones (Cab. en San Vicente),801
80153,Crnel. Carlos Concha Torres (Cab. en Huele),801
80154,Chinca,801
80155,Chontaduro,801
80156,Chumundé,801
